id;naam;categorie_id;gepubliceerd;gearchiveerd;created_at;updated_at;created_by;updated_by
1;Aquajogging;21;1;0;NULL;24/05/2011 11:51;NULL;NULL
2;Aquagym;21;1;0;NULL;24/05/2011 11:51;NULL;NULL
3;Tai chi;21;1;0;NULL;24/05/2011 11:55;NULL;NULL
5;Conditietraining (fitness);21;1;0;NULL;24/05/2011 11:50;NULL;NULL
6;Balsport;21;1;0;NULL;24/05/2011 11:50;NULL;NULL
8;B.B.B.;21;1;0;NULL;24/05/2011 11:51;NULL;NULL
9;Stretching;21;1;0;NULL;24/05/2011 11:54;NULL;NULL
1194;Seniorobic;21;1;0;NULL;24/05/2011 11:54;NULL;NULL
11;Seniorengym;21;1;0;NULL;24/05/2011 11:54;NULL;NULL
12;Spinning;21;1;0;NULL;24/05/2011 11:54;NULL;NULL
13;Switching;21;1;0;NULL;24/05/2011 11:55;NULL;NULL
16;Lessenreeks ;21;0;1;NULL;10/11/2010 9:43;NULL;NULL
17;Omnisportkamp;21;1;0;NULL;24/05/2011 11:53;NULL;NULL
19;Baseball;21;0;1;NULL;26/07/2010 9:34;NULL;NULL
1196;Bowling (gehandicapten);1;0;1;NULL;NULL;NULL;NULL
21;Dans;21;1;0;NULL;24/05/2011 11:50;NULL;NULL
22;Duiken;21;0;1;NULL;28/07/2010 10:06;NULL;NULL
24;Kleuterkamp;21;1;0;NULL;24/05/2011 11:53;NULL;NULL
25;Klimmen;21;1;0;NULL;24/05/2011 11:53;NULL;NULL
27;Paardrijden;21;0;1;NULL;NULL;NULL;NULL
1189;Hanguldo;21;1;0;NULL;24/05/2011 11:50;NULL;NULL
1190;Kumdo;21;1;0;NULL;24/05/2011 11:53;NULL;NULL
35;Gevechtssporten;21;0;1;NULL;NULL;NULL;NULL
36;Stoelturnen;21;1;0;NULL;24/05/2011 11:54;NULL;NULL
1001;Atletiek;24;1;0;NULL;NULL;NULL;NULL
1002;Atletiek - jogging;24;0;1;NULL;28/07/2010 9:53;NULL;NULL
1003;Veldloop;24;1;0;NULL;NULL;NULL;NULL
1048;Korfbal;55;1;0;NULL;NULL;NULL;NULL
1047;kaatsen;51;1;0;NULL;NULL;NULL;NULL
1046;Handbal;44;1;0;NULL;NULL;NULL;NULL
1045;Bowling;32;1;0;NULL;NULL;NULL;NULL
1043;Basketbal;27;1;0;NULL;28/07/2010 9:58;NULL;NULL
1042;American football;23;1;0;NULL;NULL;NULL;NULL
1041;Tennis;75;1;0;NULL;5/04/2011 13:14;NULL;NULL
1039;Tafeltennis;74;1;0;NULL;NULL;NULL;NULL
1038;Squash;72;1;0;NULL;NULL;NULL;NULL
1037;Snooker;48;1;0;NULL;NULL;NULL;NULL
1036;IJshockey;46;1;0;NULL;NULL;NULL;NULL
1035;Hockey;45;1;0;NULL;NULL;NULL;NULL
1034;Golf;42;1;0;NULL;NULL;NULL;NULL
1033;Cricket;33;1;0;NULL;NULL;NULL;NULL
1032;Biljart;2;0;1;NULL;NULL;NULL;NULL
1031;Baseball;26;1;0;NULL;NULL;NULL;NULL
1030;Badminton;25;1;0;NULL;NULL;NULL;NULL
1461;Krachtbal ;56;1;0;16/07/2010 9:25;16/07/2010 9:25;NULL;NULL
1469;Voetbal - minivoetbal;79;1;0;16/07/2010 11:04;16/07/2010 11:04;NULL;NULL
1051;Petanque;48;1;0;NULL;NULL;NULL;NULL
1052;Rugby;68;1;0;NULL;NULL;NULL;NULL
1053;Voetbal - veldvoetbal;79;1;0;NULL;19/10/2010 14:10;NULL;NULL
1054;Zaalvolleybal;80;1;0;NULL;NULL;NULL;NULL
1055;Voetbal - zaalvoetbal;79;1;0;NULL;NULL;NULL;NULL
1056;Bridge;38;1;0;NULL;NULL;NULL;NULL
1057;Dammen;38;1;0;NULL;NULL;NULL;NULL
1058;Schaken;38;1;0;NULL;NULL;NULL;NULL
1416;Paardrijden - dressuur;62;1;0;13/07/2010 13:11;13/07/2010 13:11;NULL;NULL
1060;Duivensport;36;1;0;NULL;NULL;NULL;NULL
1061;Hengelsport;36;1;0;NULL;NULL;NULL;NULL
1062;Hondensport;36;1;0;NULL;NULL;NULL;NULL
1454;Paardrijden - jumping;62;1;0;14/07/2010 14:39;14/07/2010 14:39;NULL;NULL
1468;Paardrijden - mennen;62;1;0;16/07/2010 10:56;16/07/2010 10:56;NULL;NULL
1065;Paardrijden;62;1;0;NULL;NULL;NULL;NULL
1068;Bmx;83;1;0;NULL;NULL;NULL;NULL
1449;Wielrennen - indoor (cyclobal);83;1;0;14/07/2010 11:27;14/07/2010 11:27;NULL;NULL
1070;Mountainbike;83;1;0;NULL;NULL;NULL;NULL
1071;Veldrijden;83;1;0;NULL;NULL;NULL;NULL
1072;Wielrennen ;83;1;0;NULL;NULL;NULL;NULL
1073;Boccia;89;1;0;NULL;NULL;NULL;NULL
1076;Rolstoelbasket;89;1;0;NULL;NULL;NULL;NULL
1077;Torbal;89;1;0;NULL;NULL;NULL;NULL
1470;Luchtsporten - modelluchtvaart;58;1;0;16/07/2010 11:21;16/07/2010 11:21;NULL;NULL
1083;Modelvaart;59;1;0;NULL;NULL;NULL;NULL
1085;Motorcross;60;1;0;NULL;NULL;NULL;NULL
1088;Aikido;22;1;0;NULL;NULL;NULL;NULL
1089;Boksen;30;1;0;NULL;NULL;NULL;NULL
1090;Budo;77;1;0;NULL;NULL;NULL;NULL
1091;Catch Arabe Libre;77;1;0;NULL;NULL;NULL;NULL
1095;Hapkido;77;1;0;NULL;NULL;NULL;NULL
1096;Judo;50;1;0;NULL;26/01/2012 12:04;NULL;29
1097;Ju-jitsu;49;1;0;NULL;NULL;NULL;NULL
1098;Jun fan gung fu;77;1;0;NULL;NULL;NULL;NULL
1099;Karate;53;1;0;NULL;NULL;NULL;NULL
1100;Kickboxing;77;1;0;NULL;NULL;NULL;NULL
1101;Thaiboxing;77;1;0;NULL;NULL;NULL;NULL
1102;Kung fu;77;1;0;NULL;NULL;NULL;NULL
